cell_marker,a1,a2,a3,a4,a1a2,a1a3,a1a4,a2a3,a2a4,a3a4
CD4-T;Beta catenin,-0.11596477579457087,-0.14903585181171658,0.31368806145517264,0.005894663538277996,-0.11590435514052962,0.18239446630740308,-0.059392356033525,0.26458263554958933,-0.09204747565715841,0.264326015577585
CD4-T;HLA-DR,0.36758851648459345,0.0425960891141137,-0.16060401355521844,-0.24681467669539833,0.31036800631272465,-0.004636519184996773,0.029419106042630767,-0.11476634955304446,-0.11012274145290327,-0.1650176519938646
CD4-T;Keratin6,-0.20937013324266798,0.14455324842968467,0.31809036474618113,-0.17460487521598017,-0.10867597093680555,0.16917309692432742,-0.2423428759168016,0.3514426102849791,-0.1666414885986134,0.1660219534824176
Mesenchymal-like;CD45RO,0.039681456532761575,0.3799765605933673,-0.08147007686506354,-0.11055041181357222,0.2685793626844465,-0.061575846367472535,0.01951489447824873,0.3123943684346566,0.3664470009480029,-0.13092360398752292
Mesenchymal-like;HLA-DR,-0.03708311956683634,0.36040086707402663,-0.059079058578058646,-0.10809573632884238,0.2194723662480171,-0.10725315195873725,-0.05151133500785994,0.2877500141466543,0.3505294702891214,-0.08919319770247751
Mesenchymal-like;HLA_Class_1,-0.10576876670767399,0.5338431327700726,-0.09043412759773656,-0.1548868818234285,0.29382453557085225,-0.1767864477044372,-0.12983053618728604,0.40571170127317324,0.5221669418754009,-0.13390760463367934
Macrophages;Beta catenin,0.054921083904737635,-0.10129991678545018,0.4457575571624675,-0.3807886910020662,0.05903840053337685,0.1275839592329207,0.04194425263751159,0.3763883660709567,-0.2519106903707616,0.3651750650085785
Macrophages;CD45RO,-0.07358937538938427,0.4144324580737016,-0.044237505587732935,-0.1989429403966168,-0.016057349561479434,-0.0829950676264835,-0.0969334248142591,0.2746286929862609,0.32315973327735353,-0.1320044068813619
Macrophages;H3K27me3,-0.02649860810229567,0.34391266650140817,0.030933923353979178,-0.28960004109700416,0.0076259439613297186,-0.05354502747491286,-0.051171839188673234,0.21876171542707487,0.23478468502654154,-0.08437239636447597
Macrophages;H3K9ac,0.014420578600851717,0.36829923324743163,0.07189094510428229,-0.3489714438718846,0.05460228051897117,-0.032872262633365894,-0.010636551193128292,0.280446355460968,0.23356944452208664,-0.06918608324332828
Macrophages;HLA_Class_1,-0.12760607439265478,0.48633804637859535,0.021586538432707903,-0.3251826981222727,-0.045792449075848396,-0.17966660870039589,-0.15254120953675487,0.3749509417620159,0.36844985548568654,-0.10541726343745675
Macrophages;IDO,-0.0961281869945815,0.30626710905911153,-0.026869582655682872,-0.1224104115878991,-0.06275476060731111,-0.10790127453705377,-0.09999551009392141,0.20820343985530723,0.27949404507752934,-0.05963732697337788
Macrophages;Keratin6,0.016380508207643345,-0.016774026695239815,0.46792096124156557,-0.4780524335075481,0.03978813060084884,0.08758509071136004,-0.01008124065239252,0.4285063210954492,-0.18983263608459375,0.3601039594553374
Macrophages;phospho-S6,-0.01983218943963206,0.29681836378412996,0.11930219021171995,-0.3266138978737519,0.010895440643215383,-0.029916433127779137,-0.040805358865863874,0.3063504181400132,0.17028695538621413,5.567375702938233e-4
Endothelial;CD45RO,0.09589507975921474,0.43585777666468983,-0.08985954157696568,-0.27170265240332975,0.2488102414633477,-0.008451303590754853,0.048591827003753765,0.2694302450476836,0.358405843899645,-0.150507266056498
Endothelial;HLA-DR,0.05190585645661713,0.4609898837413097,-0.12015311900342662,-0.2506935514403007,0.21345506177014553,-0.04986213789921526,-0.005862773697156354,0.2842267133927448,0.386604339910767,-0.18723203988721454
Endothelial;HLA_Class_1,-0.09225055321679729,0.5599441917673278,-0.16210176086288824,-0.23343746408037902,0.14786967389056183,-0.21536571981851246,-0.14219723528594286,0.3173210734785748,0.5258807080950871,-0.22810812300616778
Tregs;Beta catenin,-0.09618147997349212,-0.492165590498093,0.6543487798549833,-0.29356875924793546,-0.15679628005391785,0.22632712069589694,-0.1005886420597011,0.2687091156278097,-0.5894812125302192,0.6436639680932429
Tregs;H3K27me3,-0.13326653549416181,0.028561822882647067,0.2883285384615192,-0.2679931562197264,-0.09951697272005047,0.019764304337320533,-0.15211964635799677,0.34092959293933817,-0.0981886508520516,0.20638041007884236
Tregs;H3K9ac,0.020718278817868793,0.08700947166487633,0.23244655992054908,-0.28596639937879803,0.03485399613315376,0.12945189744497976,-0.018125588926689955,0.3010375785083486,-0.08030990256877243,0.1284082397067847
Tregs;Keratin6,-0.06312673718289193,-0.17788944546015203,0.4898688019323526,-0.4022936138454565,-0.07002181006304133,0.17713013272113817,-0.13672530114067794,0.3072890562159864,-0.4010548110030522,0.3926550093750246
Tregs;p53,-0.1924299473977128,-0.1341104777639107,0.3483278239147329,-0.250178429927011,-0.1834150785958803,-0.07319112366214539,-0.19459503025405903,0.29299947676616594,-0.2117513919993211,0.2704173123529324
Tregs;phospho-S6,-0.04410794066237732,0.2170588897464903,0.1421911974922848,-0.26201913480378225,-0.007279750185835625,0.057733415732013536,-0.07344766337652298,0.35970062726350804,0.06746384384117403,0.0576332040395119
DC;CD45RO,0.03895779109052175,0.5152612226089959,0.14685351291141446,-0.49433261949404206,0.4926635718382576,0.1783244455350281,-0.2634084471805458,0.49383262215595547,0.40458126042431125,-0.0402366203038599
DC;HLA_Class_1,-0.010605609532094454,0.6433129471709415,0.0488508260110699,-0.6099077967528869,0.49992311065422446,0.057848284872253,-0.38741375708189546,0.4809647457030526,0.5091166900777463,-0.17214032086862763
DC;Keratin6,-0.05096718066862676,0.5725466054226668,0.2209404366000619,-0.5572368669573857,0.4667045420248025,0.17364156865868033,-0.4435020929548065,0.520521698940417,0.30804088090643644,-0.06475568690127037
Mono / Neu;Beta catenin,0.006716985977016147,-0.0659587493458017,0.4649981359867859,-0.47486267298139617,0.018888961465709245,0.14220914975583293,-0.02968528776004568,0.3914756462261902,-0.21122260398877185,0.3559475815067721
Mono / Neu;CD45RO,-0.04204230834117367,0.32686722323207207,-0.13928371426606034,0.030177121110334663,0.03748627561024586,-0.08933249925040222,-0.041375046157762496,0.16173587874324488,0.30798200688735333,-0.1781088801436337
Mono / Neu;H3K27me3,-0.1819199037778673,0.3135697629877486,0.09974546505337821,-0.2570250801704811,-0.10019562317970697,-0.1322956518421374,-0.21132356981291273,0.27031513614822816,0.21521242542823163,-0.018005892271932254
Mono / Neu;H3K9ac,-0.16264665158406968,0.33520785134658543,0.08976547286631935,-0.2577478987167643,-0.08945171878832549,-0.11651591309306367,-0.19631249235069057,0.2671779192030085,0.22474285634822563,-0.048658350224262494
Mono / Neu;HLA_Class_1,-0.15830113419136474,0.3572312919994311,0.04114914871314455,-0.17630028433437475,-0.02537143269915603,-0.14989329793458764,-0.17309485378668407,0.3428741550588463,0.29061111089553043,-0.03731025841920265
Mono / Neu;Keratin6,-0.007915181662891485,-0.12042374595050057,0.5134748862768037,-0.5133343144142338,0.018548704779968388,0.13831399533935393,-0.04730011821584627,0.36086002169465153,-0.2640730196617035,0.3675764469029021
Neutrophils;Beta catenin,-0.10995757682381757,0.15899621826849702,0.5674955742079714,-0.5465680444427512,0.16398941985711693,0.18764410370302093,-0.19611062475471136,0.47080920158265344,0.06633738722019548,0.42112395606902253
Neutrophils;CD45RO,-0.004281489005814391,0.30492766313278075,-0.23314601643259264,0.0027915502147612408,0.04943380960881692,-0.14361658746421688,-0.011343177662328893,0.1103918156492241,0.2683637053803228,-0.35073344781776544
Neutrophils;H3K27me3,-0.05225369575671942,0.49121966233699743,0.11705924577841764,-0.4135735658565104,0.2335589573333165,-0.04002883717389848,-0.14143966669292043,0.4162027759250677,0.3968473179112744,-0.053913679538271135
Neutrophils;H3K9ac,0.030212740796056056,0.5126725220155834,0.2661141273906226,-0.5798643636883135,0.3553589203849539,0.08529256646963734,-0.08420597402671254,0.5105728485637204,0.38127923937874103,0.06474479808402551
Neutrophils;HLA-DR,-0.08691873251262322,0.6217825229283196,-0.033049241070022786,-0.2668725743414165,0.2363470395560082,-0.0947039996619086,-0.15479400841359353,0.47599405755585206,0.5777515388420856,-0.1291604437322675
Neutrophils;HLA_Class_1,-0.14037191224160184,0.6728116696014742,0.1219675430007711,-0.4187437197313339,0.3208825483358263,-0.09976781117396527,-0.22487152263352608,0.6288526442877839,0.5973755714574175,-0.0045565881247685664
Neutrophils;IDO,-0.1050485583210246,0.25963806934775663,0.08887529092146788,-0.1483159606881117,0.05991100129894857,-0.034365963415276264,-0.12018383346082029,0.3172665862867713,0.2481356080809387,0.06341154683605715
Neutrophils;Keratin6,-0.06959426508976756,0.028344052757308162,0.5331392920907561,-0.5085122978215899,0.08959881286098882,0.18169801042504224,-0.14823960781521361,0.3662427330530582,-0.08772128153520442,0.3245331084753104
Neutrophils;PD-L1,-0.16784456887837085,0.20981429555058098,0.18777663450970752,-0.17978689512794377,0.04932653117875527,-0.05331473521004255,-0.18071941713310746,0.34191097288753414,0.20106952800506184,0.1727862704302364
Neutrophils;phospho-S6,0.013284162451530655,0.49486842979447676,0.22822895607158805,-0.5077270884485038,0.27874146506195785,0.058638437683238974,-0.08039339703101782,0.49860633388885867,0.38065520165921723,0.03366338830216126
