x,y,label,cell_type,cell_size_pixel
42.705,76.83000000000001,413,Macrophages,263
256.425,79.755,414,Keratin-positive tumor,862
111.54,79.56,415,Keratin-positive tumor,665
747.4350000000001,80.535,416,Keratin-positive tumor,1062
209.82,76.83000000000001,417,Keratin-positive tumor,540
281.97,80.34,418,Keratin-positive tumor,261
409.11,78.0,419,Macrophages,144
526.695,79.755,420,Keratin-positive tumor,146
613.665,79.755,421,CD8-T,529
758.1600000000001,79.36500000000001,422,Keratin-positive tumor,492
290.55,80.145,423,Keratin-positive tumor,508
723.255,80.34,424,Keratin-positive tumor,445
773.76,80.145,425,Keratin-positive tumor,510
78.58500000000001,81.315,426,Macrophages,688
363.285,81.315,427,Keratin-positive tumor,248
185.835,82.68,428,DC / Mono,982
549.12,80.34,430,Keratin-positive tumor,405
389.805,83.46000000000001,431,Keratin-positive tumor,889
355.68,82.28999999999999,433,Keratin-positive tumor,406
405.21000000000004,79.56,434,Macrophages,317
517.1400000000001,84.24000000000001,435,Keratin-positive tumor,582
633.5550000000001,85.41,436,Keratin-positive tumor,1039
645.2550000000001,84.825,437,Keratin-positive tumor,1119
763.815,83.46000000000001,438,Keratin-positive tumor,576
265.785,84.24000000000001,439,Keratin-positive tumor,608
523.77,81.12,440,Keratin-positive tumor,115
624.78,81.51,441,Keratin-positive tumor,79
784.095,80.535,442,DC / Mono,216
277.485,83.85,443,Keratin-positive tumor,323
538.59,82.68,444,Keratin-positive tumor,212
44.07,87.165,445,Macrophages,654
562.575,83.46000000000001,446,Macrophages,275
34.905,87.75,448,Keratin-positive tumor,994
304.59000000000003,83.46000000000001,449,Keratin-positive tumor,443
575.25,85.41,450,Keratin-positive tumor,537
272.41499999999996,85.41,451,Macrophages,152
478.14,88.14,452,Keratin-positive tumor,1290
543.855,85.215,453,Keratin-positive tumor,155
621.6600000000001,84.045,454,Keratin-positive tumor,241
664.755,84.63,455,Mono / Neu,694
741.78,88.33500000000001,456,Keratin-positive tumor,797
781.755,86.385,457,Keratin-positive tumor,527
212.55,85.41,458,Keratin-positive tumor,245
676.26,84.24000000000001,459,Macrophages,90
107.25,86.385,460,Keratin-positive tumor,553
458.44500000000005,90.67500000000001,461,Keratin-positive tumor,1362
