site_ID,patient_ID,PC1,PC2,PC3,arch1_prob,arch2_prob,arch3_prob,arch4_prob
957,10,53.245734161683906,-34.569057671867114,13.082685468627629,0.0,0.16496839603202193,0.1780705201713241,0.6569622778479386
958,10,44.52343054595297,-37.522754820309686,4.043575902110966,0.0,0.12333312468291684,0.19218847709880307,0.6844797821541839
959,10,76.76417425532712,-43.58908369217565,8.416936565174403,0.0,0.16449118337261004,0.11069825750836206,0.7248117877478639
960,10,45.01462409792776,-35.63213989348773,15.259609082845474,0.0,0.16258841600480256,0.19812865821035985,0.6392845674765396
961,10,41.37564010648681,-35.19397991952641,3.917401833407295,0.0,0.12208471574250172,0.20184789063719352,0.67606862544223
962,10,76.16822169726208,-45.70259668321431,2.9455962636185653,0.0,0.14375383357435104,0.10759611468612441,0.7486512886782868
963,10,56.88902869737138,-39.62922381084108,-5.027861215236831,0.0,0.1040673491317987,0.15592224390425988,0.7400112597630245
964,10,38.59884902459947,-32.2302217614871,2.5001630811803968,0.0,0.117631031152523,0.21055163723428338,0.6718182805406473
965,10,49.24186365674875,-35.74217439197375,4.046813461670009,0.0,0.13000606368792833,0.18234699695962986,0.6876479976267565
966,10,43.600377289106966,-33.01768332600964,2.1886883315806434,0.0,0.12092469905837772,0.1975680482563248,0.6815081202820481
967,10,50.75215639552033,-38.06871224647351,21.70257057492054,0.0,0.18711122486133802,0.18515484395190204,0.6277359222783909
968,10,56.10484377951017,-43.651845708148315,5.459628890090819,0.0,0.13355414552948464,0.15929811227532334,0.7071494729430923
969,10,31.74575767669817,-32.4658614354339,7.944682070539562,0.0,0.12823665357874584,0.22959435633544414,0.6421703960900511
970,10,33.1133363057359,-32.86323570504111,2.9569709731532963,0.0,0.11286017225628335,0.22350510135461207,0.6636359243266767
971,10,29.419162931606884,-29.09072181661538,-3.917849932199105,0.0,0.09038506019452687,0.23251360910816068,0.6771019616185794
972,10,113.70686017138962,-58.57991696035134,-7.036253252429079,0.0,0.13623366069269602,0.00019559247342785708,0.8635717757374843
973,10,16.547966067334922,-25.63438089807389,-4.604549280163461,0.0,0.07849239338195844,0.2664874255581439,0.6550208110676075
974,10,64.16716174697086,-48.965657633986666,7.053685877827552,0.0,0.1415908454830741,0.13575739077987375,0.7226538697510465
975,10,41.36705358257557,-33.3938912824242,7.3372677209765405,0.0,0.13514796018593364,0.20514048378333546,0.6597127444681196
976,10,99.66280459695672,-50.63130575440628,2.7329745756809234,0.0,0.1620676340344169,0.046109154636867315,0.7918242457710626
977,10,28.45198348936973,-29.494692499207734,2.1123897692900586,0.0,0.10877067206603384,0.2374185970224501,0.653811684416266
978,10,117.10274371664659,-55.29068821058078,-6.090697667400181,0.0,0.14621150703564242,0.0,0.8537913393507424
979,10,36.69254692079132,-30.91265221130255,-16.46113839471501,0.0,0.05479949437246716,0.20716632277746166,0.7380342608119489
980,10,39.483210422615734,-33.62419832935569,3.293677346644051,0.0,0.11971032946785852,0.20754179210933754,0.672748978342585
981,10,35.92136369770511,-33.3825131660392,4.915484533433743,0.0,0.1216319064039765,0.21718033149477728,0.6611890114383907
982,10,57.41896500126049,-38.319205133123766,5.549613067483823,0.0,0.14067052343376016,0.16093831321802254,0.6983923062102679
