a1,a2,a3,a4,a5,a1a2,a1a3,a1a4,a1a5,a2a3,a2a4,a2a5,a3a4,a3a5,a4a5
0.4981407992044719,0.40081257200952214,0.40081257200952214,9.704156707402345e-5,0.15977261451540442,0.5140340910136492,0.7759573895622984,0.7260292541226036,0.5140340910136492,0.6694357259510295,0.8928539253491322,2.3533075184186466e-4,0.010829827929811079,0.8168622438757851,0.41927416803133716
1,3.44139841410264e-6,0.5140340910136492,0.5140340910136492,0.0026395579716946426,0.5140340910136492,0.7759573895622984,1,1,0.06352757556610994,1.663712802718316e-4,0.164951892028306,0.6694357259510295,1,0.8168622438757851
0.11017385685757519,0.09806330949873467,1,0.02224802617651736,0.17523669962783497,0.5140340910136492,0.11017385685757519,0.5140340910136492,0.11122147224021489,0.5140340910136492,0.003134315860824357,0.7480412176541303,0.41927416803133716,0.6694357259510295,0.41927416803133716
0.04086078237663503,2.1725770038646963e-4,0.6694357259510295,0.06488852824936436,0.9007077339200517,0.01634298100025508,0.40081257200952214,0.22938349827174342,0.0075228764453030075,0.2638575025146167,0.7260292541226036,1.3661982976742948e-9,1,0.17523669962783497,0.7260292541226036
0.40081257200952214,0.02224802617651736,0.19727237391269592,0.8168622438757851,0.7759573895622984,0.5529953310338617,0.4981407992044719,0.5529953310338617,0.4289358786673048,0.7480412176541303,0.043022163013914864,0.22938349827174342,0.5140340910136492,0.0075228764453030075,1
0.2638575025146167,1,1,0.6729359871829491,1,0.5140340910136492,0.5529953310338617,0.40081257200952214,0.19644165629246957,1,0.8460296961388548,1,0.9007077339200517,0.8460296961388548,0.6694357259510295
9.625079759966956e-4,0.40081257200952214,0.5140340910136492,0.9007077339200517,0.7480412176541303,0.02224802617651736,0.06488852824936436,0.006948225891878956,0.0011698523201335318,0.8460296961388548,0.5140340910136492,0.27995138339748016,0.7260292541226036,0.2638575025146167,0.7480412176541303
0.8460296961388548,0.164951892028306,0.7759573895622984,1,0.5140340910136492,0.5529953310338617,0.8460296961388548,0.8460296961388548,1,0.4981407992044719,0.2638575025146167,0.8168622438757851,0.6694357259510295,1,0.6694357259510295
1.663712802718316e-4,0.5140340910136492,1.4748786243594202e-6,0.9007077339200517,4.691919591942556e-7,5.275960714967706e-5,1.663712802718316e-4,0.0011698523201335318,0.003134315860824357,1.7453350028808324e-5,1,0.0026395579716946426,0.005851379637887456,0.21853944372669099,6.604883624638971e-4
0.5140340910136492,1.6963461256080207e-24,0.8460296961388548,0.5140340910136492,1.663712802718316e-4,0.8168622438757851,0.7480412176541303,0.6694357259510295,0.2638575025146167,6.604883624638971e-4,4.5389794464764555e-8,8.663544355990373e-11,0.8928539253491322,0.4981407992044719,0.00031003612124178937
0.5140340910136492,8.390632511723872e-6,0.010829827929811079,1,5.68087109835125e-7,0.13224304442108703,0.5140340910136492,0.8168622438757851,0.8460296961388548,3.2021007412290384e-6,0.03072495847038746,1,0.17523669962783497,0.8168622438757851,1.663712802718316e-4
0.7480412176541303,6.384464125546088e-13,0.0026395579716946426,0.5529953310338617,6.604883624638971e-4,0.40081257200952214,0.4981407992044719,0.5140340910136492,0.9007077339200517,4.700082710320039e-6,3.088030234822337e-4,4.779455984068425e-5,0.06488852824936436,0.4981407992044719,9.625079759966956e-4
1,0.04086078237663503,0.7480412176541303,0.5529953310338617,1,0.9007077339200517,1,1,1,0.9007077339200517,0.5140340910136492,0.164951892028306,0.5140340910136492,0.5140340910136492,0.6694357259510295
0.5140340910136492,5.4356321849644325e-18,0.40081257200952214,1.4539981384891471e-11,0.7480412176541303,0.08132644964349119,0.29462672989606514,0.8460296961388548,0.5140340910136492,6.618757045950497e-5,0.06352757556610994,3.5619067302258235e-20,1,0.15977261451540442,8.085867512750662e-8
0.4981407992044719,4.700082710320039e-6,1,0.7480412176541303,0.8168622438757851,0.8928539253491322,0.5140340910136492,0.5529953310338617,0.5140340910136492,0.5140340910136492,0.01634298100025508,9.704156707402345e-5,1,0.7759573895622984,0.5529953310338617
0.03072495847038746,0.22938349827174342,0.04086078237663503,0.4664577554503836,0.9007077339200517,0.340455872703169,0.03072495847038746,0.22938349827174342,0.006948225891878956,0.6694357259510295,0.09806330949873467,0.40081257200952214,0.5529953310338617,1.663712802718316e-4,0.7260292541226036
0.03072495847038746,6.986418549128523e-29,1,0.9007077339200517,0.06352757556610994,0.7480412176541303,0.17523669962783497,0.340455872703169,0.001972745080174565,9.704156707402345e-5,6.403598292509692e-12,1.6963461256080207e-24,0.8460296961388548,0.29484423674275934,0.7759573895622984
0.5140340910136492,4.691919591942556e-7,1,0.41927416803133716,1,1,0.6694357259510295,0.6729359871829491,0.8460296961388548,0.40081257200952214,0.19644165629246957,2.71248002699977e-12,0.8928539253491322,0.6694357259510295,0.8928539253491322
0.7759573895622984,7.91191938880736e-14,1,0.9007077339200517,0.043022163013914864,0.7480412176541303,1,1,0.5140340910136492,0.06732692735415444,3.511408735853841e-8,1.4539981384891471e-11,0.7759573895622984,0.5529953310338617,0.8168622438757851
0.7759573895622984,0.5140340910136492,0.8460296961388548,0.7480412176541303,0.7759573895622984,0.8168622438757851,0.7759573895622984,0.8168622438757851,0.8168622438757851,0.6694357259510295,1,1,1,1,0.5140340910136492
0.8460296961388548,0.03072495847038746,0.001972745080174565,0.8168622438757851,0.22938349827174342,0.5529953310338617,0.6694357259510295,0.8460296961388548,0.7480412176541303,8.87799776032405e-4,0.5140340910136492,0.2638575025146167,0.08132644964349119,0.08132644964349119,0.2638575025146167
0.5529953310338617,0.05781059859733687,1,0.08132644964349119,1,0.9007077339200517,0.6729359871829491,0.27995138339748016,0.6525062051966668,0.5140340910136492,1,0.06488852824936436,0.6694357259510295,1,0.11122147224021489
0.40081257200952214,5.852639783743515e-10,0.8460296961388548,0.7447646179486854,0.2638575025146167,1,0.5529953310338617,0.2638575025146167,0.2638575025146167,0.340455872703169,0.05781059859733687,2.608642426462707e-6,0.6694357259510295,0.40081257200952214,0.5140340910136492
0.8928539253491322,2.311324708983116e-8,0.22938349827174342,0.41927416803133716,0.6694357259510295,0.5140340910136492,0.8460296961388548,0.8168622438757851,0.8460296961388548,7.229786484618145e-4,9.625079759966956e-4,8.390632511723872e-6,0.5140340910136492,0.1376705937109259,0.40081257200952214
0.41927416803133716,0.02224802617651736,0.004430393977746712,0.5140340910136492,1.8451476029574998e-4,0.2638575025146167,0.2638575025146167,0.7759573895622984,0.6694357259510295,8.87799776032405e-4,1,1,0.340455872703169,0.4664577554503836,0.0075228764453030075
0.8168622438757851,0.9007077339200517,1,1,0.7480412176541303,0.8928539253491322,0.8460296961388548,0.8168622438757851,0.8168622438757851,1,1,1,1,0.7480412176541303,0.8168622438757851
0.9007077339200517,2.733013354480496e-8,0.7480412176541303,0.17523669962783497,1,0.8168622438757851,1,0.7759573895622984,0.8928539253491322,0.5140340910136492,0.19727237391269592,3.2021007412290384e-6,0.164951892028306,0.40081257200952214,0.15977261451540442
1,3.4939975053316016e-7,0.5140340910136492,0.8168622438757851,0.003718924606048863,0.15977261451540442,0.8168622438757851,0.8460296961388548,0.8168622438757851,0.004430393977746712,0.006948225891878956,0.010829827929811079,0.5140340910136492,0.7759573895622984,0.5140340910136492
1.1747539921718e-16,6.403598292509692e-12,3.1659270154605536e-38,0.2638575025146167,6.067098266037893e-22,5.319698453050523e-13,2.0699143918025146e-19,2.2958773215449553e-13,8.483405332696635e-16,5.901479716882281e-34,3.2021007412290384e-6,1,1.5613866158796192e-24,1.2863387492699559e-23,2.5005956419463996e-17
