"","CD8.T","Other.immune","DC...Mono","CD3.T","B","NK","Keratin.positive.tumor","Tumor","CD4.T","Mesenchymal.like","Macrophages","Endothelial","Tregs","DC","Mono...Neu","Neutrophils","bb"
"57",0,0,0,0,0,0,0.989241523579235,0.0107584764207647,0,0,0,0,0,0,0,0,"bb3"
"58",0,0,0,0,0,0,0.93567865362381,0.0643213463761897,0,0,0,0,0,0,0,0,"bb3"
"59",0,0,0,0,0,0,0.951723539236589,0.0447310471474055,0,0.00354541361600598,0,0,0,0,0,0,"bb3"
"60",0,0,0,0,0,0,0.957584987174421,0.0334514687578791,0,0.0089635440677,0,0,0,0,0,0,"bb3"
"61",0,0,0,0,0,0,0.991621048884486,0.00447796917558765,0,0.00390098193992594,0,0,0,0,0,0,"bb3"
"62",0,0,0,0,0,0,0.944025274130678,0.0298594170917782,0,0.026115308777544,0,0,0,0,0,0,"bb3"
"63",0,0,0,0,0,0,0.989779994366395,0.0054347614216766,0,0.00478524421192798,0,0,0,0,0,0,"bb3"
"64",0,0,0,0,0,0,0.912073243505763,0.0714003289726487,0,0.0165264275215885,0,0,0,0,0,0,"bb3"
"65",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"66",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"67",0,0,0,0,0,0,0.946567294003428,0.0275800286136718,0,0.0258526773828999,0,0,0,0,0,0,"bb3"
"68",0,0,0,0,0,0,0.953740561179774,0.02801783655011,0,0.018241602270116,0,0,0,0,0,0,"bb3"
"69",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"70",0,0,0,0,0,0,0.981685557465996,0.00790172187467546,0,0.0104127206593288,0,0,0,0,0,0,"bb3"
"71",0,0,0,0,0,0,0.933307327700856,0.0330894716074226,0,0.0336032006917214,0,0,0,0,0,0,"bb3"
"72",0,0,0,0,0,0,0.830224733449035,0.146147878630641,0,0.0236273879203241,0,0,0,0,0,0,"bb3"
"73",0,0,0,0,0,0,0.956807945838443,0,0,0,0.0351132236459809,0.00807883051557626,0,0,0,0,"bb3"
"74",0,0,0,0,0,0,0.957928730946847,0,0,0,0.0360079488415915,0.00606332021156155,0,0,0,0,"bb3"
"75",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"bb3"
"76",0.0427852353488129,0.203294046280287,0.0590456006671881,0.082574729354001,0.023052223690949,0,0.0459758675587169,0.0184038531824628,0.0182619718158866,0.25788990189,0.248716570211696,0,0,0,0,0,"bb4"
"77",0.103062381116433,0.184344556340395,0.0602705358332311,0.0669672351984912,0.0244302896894508,0,0,0.0195999629302208,0.0178078608678231,0.248935823162245,0.257727620559354,0.0168537343023553,0,0,0,0,"bb4"
"78",0.0188245054765925,0.429498271417079,0,0.0888900756069465,0.0642437774130639,0,0,0,0.0335585133428422,0.0665315318052192,0.23483672130517,0.0292393751269613,0,0,0.0120601592615378,0.0223170692445881,"bb4"
"79",0.0700546178983577,0.202042055772093,0.036313183051596,0.0466331324886581,0,0,0,0,0.0447720737831108,0.136443839758186,0.318225275603904,0.107599183417823,0.00793375622276183,0,0.0299828820035087,0,"bb4"
"80",0.0315367957378647,0.252016129410922,0.00635354834406548,0.132581340776927,0.0326951850830063,0,0.0233416606692217,0,0.0550137612546165,0.0568173054039292,0.296307719082497,0.068882350724845,0.0221628124989013,0,0.00611759096363447,0.0161738000495687,"bb4"
"81",0.026612555771933,0.163969793008439,0,0.0793518713937244,0.0231580469590315,0,0,0,0.0341815274549996,0.116130563464241,0.310864481493107,0.0843005838448784,0.0325261846062177,0,0.0274163090708078,0.10148808293262,"bb4"
"82",0.0395639977673649,0.14824647673219,0,0.0311926164955757,0.0187193375088233,0,0.0210964832812372,0.0118987268108783,0.0711981823556232,0.103408120471428,0.432885165608438,0.0880851752827307,0,0,0.0337057176857104,0,"bb4"
"83",0,0.156240112736487,0.0239905410517591,0.0846977735123876,0.00924220192168652,0,0.0144224151153158,0,0.0485384605263815,0.0903988922525566,0.4880975239655,0.0562336928711834,0.013225450194236,0,0.0149129358525067,0,"bb4"
"84",0.0151011423313265,0.23115354164928,0.0119038302037303,0.0559796689931297,0.00460237481736199,0,0.00425615261761408,0,0.0232506748623068,0.0915626299382304,0.480329502755378,0.0305126338766045,0.0414557985097132,0,0.00989204944532438,0,"bb4"
"85",0.0222429048777295,0.408572662768893,0.0402014234234211,0.0739936963036896,0.0750714067215163,0,0.00978978407515343,0,0.0545833788934989,0.0574417457199103,0.0840259190607821,0.103763934090222,0.0376543209104001,0,0.024115562214709,0.00854326094007481,"bb4"
"86",0.0739215601217188,0.164274931347491,0,0.0752596993846376,0.0222236904398383,0,0.0101771003628383,0,0.00454775069501217,0.0763803769185339,0.337541230308543,0.0930888655109896,0.0343131439022751,0,0.0126676545507577,0.0956039964573646,"bb4"
"87",0.0260002423092056,0.102566982427385,0,0.0623870907199119,0,0,0.00481207586576894,0,0.07099091796201,0.0956852125239289,0.561004868379318,0.0647266575306736,0,0.00490229956559279,0.00692365271620462,0,"bb4"
"88",0.0246197114635886,0.141072666545168,0,0.0715326720995405,0.0261113002842287,0,0,0,0.0447829058182139,0.0980420977878708,0.368143211375982,0.0775039019545766,0.0225407947612347,0,0.0200197988277624,0.105630939081834,"bb4"
"89",0.0282814835820735,0.320746716406753,0,0.0604453892197373,0.0335360732869608,0,0,0,0.0656815580094247,0.129773039743237,0.201510372595475,0.00654048404281565,0.0589977489480247,0,0.0765809693271046,0.0179061648383945,"bb4"
"90",0,0.214006719531531,0.0209116144899312,0.0411646379656514,0.0808211715414317,0,0,0,0.0429605924802682,0.122729978388986,0.264668482375779,0.00881804219775224,0,0,0.0670807105292767,0.136838050499392,"bb4"
"91",0,0.151924531047218,0.0141157543805957,0.0768472698282126,0,0,0,0,0.0816907490274646,0.110791551676564,0.540267522073591,0.0120700066198205,0.00771240519030301,0,0.00458021015623034,0,"bb4"
"92",0.0818819720651576,0.0809213030043757,0,0,0,0,0,0,0.0536295011286951,0.142241810718629,0.374229401206608,0.159652010165595,0,0,0.100711297356709,0.00673270435423064,"bb4"
"93",0.0546088086640858,0.127799687742099,0,0,0,0,0.0427052012634202,0,0.0312563639736623,0.0976854686844187,0.464443086636844,0.0753803185925721,0,0.0289955895431595,0.0771254748997382,0,"bb4"
"94",0.00793566364739822,0.0835358127838526,0.0861666786517209,0,0,0,0,0,0.0490365411394914,0.0777951698638811,0.432999276507447,0.19365836762468,0,0.00887756315340247,0.0599949266281268,0,"bb4"
"95",0.114157254801753,0.0515365051407775,0.0225786581723164,0.0303281949258868,0,0,0,0,0.0639355585706608,0.277728191083111,0.173348731079699,0.126409512156051,0,0,0.139977394069744,0,"bb4"
"96",0,0.0664308906871399,0.0467417825509813,0.0105276093335379,0,0,0.0801004453953511,0,0,0.0716751265877821,0.494274169661575,0,0,0,0.0700969234859577,0.160153052297675,"bb4"
"97",0.037356849369626,0.104590924222009,0,0.032239538328276,0,0,0,0,0,0.502518420570785,0.116618934201207,0.0897272185968094,0,0,0.116948114711288,0,"bb4"
"98",0.101758373703015,0.0774060801307622,0.0197534909490484,0.0148291553476291,0,0,0.0541274077531771,0,0,0.356880042473149,0.213467745376517,0.132075732639045,0.00412397471073505,0,0.0255779969169226,0,"bb4"
"99",0.0126069620049612,0.199086709318677,0.013245381010098,0.0483067782046676,0,0,0,0,0.065074602297542,0.160820754445711,0.237561686227533,0.193899270711516,0,0,0.0693978557792938,0,"bb4"
"100",0.00861025611801758,0.0723535239915929,0.044395702271252,0,0,0,0,0,0.0396730256280971,0.108485676963082,0.601332848473139,0.0725935109332405,0,0,0.0525554556215794,0,"bb4"
