cell_marker,a1,a2,a3,a4,a1a2,a1a3,a1a4,a2a3,a2a4,a3a4,a1a2a3,a1a2a4,a1a3a4,a2a3a4,a1a2a3a4
Mono / Neu;Keratin6,-0.012610738452274332,-0.08526823372344218,0.49432222075230314,-0.4954589606762025,0.030456314811643397,0.1404358911450636,-0.0526962598371696,0.35969687527624544,-0.22047513921123935,0.36252414611090805,0.14187631033711254,0.006779917458929376,0.09418545278565489,0.26275509417062387,0.114146304513231
Neutrophils;Beta.catenin,-0.11030485432162655,0.1696963966212129,0.5671532540377398,-0.5455028793394143,0.17792777284572608,0.2008566935878929,-0.20535715294819415,0.46414714414088476,0.08483582229463606,0.43375307699772947,0.27612434495758637,0.1538998579898161,0.1280032764926292,0.4099387873709425,0.2593543218374007
Neutrophils;CD138,0.12844732707000925,-0.31562171696389635,-0.004471538734017095,0.1646057910331629,-0.19241026694598592,0.12109004265165745,0.16059657283362422,-0.26564636705382927,-0.30147896268699986,0.05239644619170678,-0.16848706457111842,-0.18390304106690167,0.16717366865633265,-0.2647588283936373,-0.16713694825480424
Neutrophils;CD45RO,-0.007404977718386942,0.2774381559487155,-0.22841257518506522,0.012438055106499974,0.041799604018702904,-0.15054613395317645,-0.009677247666131263,0.10344400036872024,0.24785114551774737,-0.3356358340772389,0.02330934435860837,0.0325272951448682,-0.1717670914199696,0.10086196155027898,0.02077919425950249
Neutrophils;H3K27me3,-0.05161002369305601,0.4940878218204991,0.12948890097229085,-0.41684203949180165,0.261527692692207,-0.022206516655867672,-0.14433768696015906,0.43255619693957065,0.41290988739341433,-0.02991696374357356,0.24245040232183412,0.23532067649620578,-0.10066968833859916,0.39869304174945286,0.22871602224422527
Neutrophils;H3K9ac,0.021622989750812754,0.5162258935044307,0.2818135345113372,-0.583255323276555,0.38016246619794436,0.10555276428855952,-0.09854387689474249,0.5230613137716202,0.4041438061591991,0.09677192291192831,0.3549647506395731,0.3479603213886519,0.011026057967393702,0.4752378824699083,0.3362936739806722
Neutrophils;HLA.DR,-0.09737047098860566,0.6193591492006651,-0.0035400115485821303,-0.2920616987001298,0.267851815398502,-0.09309125021421487,-0.17119279152427666,0.49957172138106953,0.5818844348074045,-0.0975031258946634,0.2710360719320864,0.25554521659829194,-0.149115837891349,0.5115155538662536,0.2715901233876038
Neutrophils;HLA_Class_1,-0.14487841037472707,0.6707734316124392,0.1430496046362574,-0.43555732464066554,0.3536343973878247,-0.08578267285185388,-0.23746186293007962,0.6361032946189448,0.6076534836924803,0.019630459328821414,0.3486881029606975,0.33239477980086335,-0.15897574019095678,0.6319955870762312,0.3475763388391288
Neutrophils;IDO,-0.10046349795940757,0.25628452130105306,0.08889577877255732,-0.15239303024879694,0.07020773969067627,-0.03364722116480667,-0.12123958244380097,0.3042330253563548,0.2473163368775012,0.06072843525318811,0.09783729629314462,0.06878148539750396,-0.04168738450150685,0.3254194989784894,0.1019447316141071
Neutrophils;Keratin6,-0.06716485213486116,0.03558108265725588,0.5233372207046576,-0.4961802791827988,0.09475043075922833,0.2030155558195615,-0.15152823817432967,0.34458369801072436,-0.06499534590238065,0.341245153138463,0.1937867077166683,0.06308821519776919,0.12603400974253887,0.26630514118177734,0.16755474107650853
Neutrophils;PD.L1,-0.14923101495697932,0.21617538646994205,0.19090785233449306,-0.197475892427944,0.07333892663325392,-0.03074703593686341,-0.1687705762417628,0.3359920069108526,0.2049513347137217,0.16952215910348686,0.11461072128603678,0.07320451334312483,-0.04602600996347038,0.3504423560016951,0.11937014447174252
Neutrophils;phospho.S6,0.006559983549152961,0.5007500077372645,0.24441534608948112,-0.5149865942142174,0.3063625682883152,0.07571601292630183,-0.09401651908981891,0.510454058258953,0.4027535745642275,0.06627759482768368,0.3027295850829871,0.28340559602380394,-0.001467897373273854,0.4739173054067418,0.2890621080296548
