"","EndothelialCells","EpithelialCells","Fibroblasts","Other","NK","BCells","PlasmaCells","DC","CD4-T","CD8-T","Macrophages","OtherImmune"
"T_BB055",12.1149897121099,12.2176591259511,8.93223821937817,6.57084192526089,6.27054937080276,1.27061134536384,0.462040483753736,0.676559260443741,5.76909832054518,4.98543467196891,29.557766689189,11.1722108402826
"T_BB056",2.63724438590924,10.8180839703433,2.09903117549983,4.30570508828068,2.66120322786547,6.49585041071618,0.513381715279803,0.806742683991129,43.3280701096149,11.8349821878673,2.45262795670113,12.0470770031078
"T_BB058",3.8290787885148,22.8634850314072,8.93451717320119,33.2963374334395,0.618097762434626,1.48801310531442,0.400618903407242,0.228925109858839,11.1085233506263,4.75255622010899,2.93853611632235,9.54131099793598
"T_BB059",0.869565234712395,23.2298136530489,6.70807459189846,4.4720496836673,5.47064373934326,2.59623768377086,0.463613888282064,0.370891097681551,2.66114363338958,1.04544927843614,27.4696152296683,24.6429022861012
"T_BB061",4.04332131338576,67.0036100871022,1.73285197229684,10.1805054545634,1.3755114465784,0.862726336093734,0.117801981387076,0.0970133974387514,5.82387093679883,1.94129029771889,1.38148361292347,5.440013149365
"T_BB064",1.13924051362884,57.1609402825373,1.64556966848859,0.596745047101887,1.08608552745841,3.18008507115583,0.593771126815747,0.370899042804317,19.3591490059179,4.35989667211616,3.582002302035,6.92561573994001
"T_BB066",2.39912760349321,24.274809205681,9.02944383845102,9.57470008005984,1.17624573949124,7.76039609545285,0.498050016043235,0.187210307182821,22.5873080972893,5.21766100248768,2.64869611984654,14.6463491584253
"T_BB067",4.40229066681415,24.4452398207606,10.7372942161398,29.2412311538358,0.77187879658766,1.60185603643839,0.145246014635831,0.427438261845064,10.0132876162593,4.20382921133526,3.69724693878912,10.3131612441455
"T_BB068",6.53514180415891,17.5092478312716,8.38471021150351,42.7866831093708,1.30028483856612,1.04416813507431,0.177311567768825,0.0197012963228548,9.67508466100585,4.81763473786441,0.898071578786352,6.8519602283064
"T_BB070",6.91804297602925,26.3477719170736,6.32595828137839,38.2050482333258,1.33189006229026,2.31502336379597,0.0511108956016202,0.213463201849166,5.5076269588131,3.76932935174278,2.44831910048518,6.56641565147255
"T_BB072",1.00222713928453,6.6258351772317,1.8930958183516,36.6648107068741,1.52001422649037,5.88107322951219,0.66880626826601,0.38138536640766,23.8625108938592,8.45153793954557,2.61534569628079,10.4333574886976
"T_BB073a",2.18286660410876,10.6260296938883,1.35914333162173,32.3311367455691,2.82601424591346,3.73437600029686,1.00088003316708,0.311197973274326,23.9320919529973,11.0345066557316,2.60798656527717,8.05377014128917
"T_BB073b",2.1891418342734,30.7939288476758,1.51780500509622,15.9369526798092,2.49549717220173,2.41795348708097,1.17255469309941,0.754288672571704,17.5372238601053,11.6410882438958,6.24720589940929,7.29635965434329
"T_BB075",2.04620464174101,32.1452144763062,2.24422446334673,1.91419146364082,2.58513839055494,15.7962727031768,0.150799755889082,0.263899572805894,22.3350317448182,5.46524441499981,6.8140875946363,8.23969082406195
"T_BB076",2.50487966413678,58.1327261221718,3.18802862646805,17.3389719987106,0.645672508024247,1.03021428368348,0.0822740539766648,0.0536569884481912,8.68724310899115,4.00430460679651,1.29653095360707,3.03549708278375
"T_BB078",2.62234533732939,12.0406278605163,2.12373037058047,23.1763619618484,1.74611252108333,8.36486352888195,0.287334967264072,0.216003584497229,22.7576846334415,15.329435470995,3.1767284507103,8.15877131753889
